_idx,department,job_level,location,hire_date,tenure_months,performance_rating,salary_band_min,salary_band_mid,salary_band_max,market_benchmark_salary,base_salary,months_since_last_raise,last_merit_increase_pct,_dept_churn,_level_churn,attrition_flag,exit_date,hris_id,payroll_id,bench_id,tax_ref
0,Finance,L2 - Mid,Lisbon,2023-01-03,36,3,45213.0,55138.0,65063.0,50112.0,45213.0,13,2.49,-0.2,0.05,1,2024-07-22,DF-100000,500000,EMP_00000,DE93000000
1,Operations,L3 - Senior,London,2024-10-02,15,3,75384.0,91932.0,108479.0,94305.0,83969.0,13,3.83,0.0,-0.05,0,,DF-100001,500001,EMP_00001,DE93000007
2,Operations,L4 - Lead,London,2022-05-05,44,3,94385.0,115104.0,135822.0,118048.0,121280.0,26,1.36,0.0,-0.1,0,,DF-100002,500002,EMP_00002,DE93000014
3,Sales,L2 - Mid,Munich,2021-09-04,52,4,62366.0,76056.0,89746.0,71667.0,69615.0,17,2.87,0.55,0.05,0,,DF-100003,500003,EMP_00003,DE93000021
4,Sales,L2 - Mid,Remote-DE,2022-08-04,41,3,57406.0,70008.0,82609.0,70339.0,74799.0,5,3.56,0.55,0.05,0,,DF-100004,500004,EMP_00004,DE93000028
5,Support,L1 - Junior,Munich,2023-11-03,26,3,32490.0,39622.0,46754.0,34954.0,43489.0,17,5.62,0.7,0.2,0,,DF-100005,500005,EMP_00005,DE93000035
6,Engineering,L2 - Mid,Munich,2024-10-02,15,3,70761.0,86294.0,101826.0,79448.0,75197.0,14,5.58,-0.15,0.05,1,2025-07-13,DF-100006,500006,EMP_00006,DE93000042
7,Finance,L3 - Senior,Berlin,2023-12-03,25,3,71363.0,87028.0,102693.0,84816.0,81221.0,16,3.26,-0.2,-0.05,1,2025-06-19,DF-100007,500007,EMP_00007,DE93000049
8,Product,L3 - Senior,Berlin,2025-07-03,6,5,84693.0,103284.0,121875.0,102708.0,98877.0,0,2.21,-0.1,-0.05,0,,DF-100008,500008,EMP_00008,DE93000056
9,Marketing,L1 - Junior,Lisbon,2023-09-03,28,3,30443.0,37126.0,43808.0,34699.0,39886.0,11,5.88,0.1,0.2,0,,DF-100009,500009,EMP_00009,DE93000063
10,Sales,L2 - Mid,Munich,2022-10-04,39,2,60701.0,74025.0,87350.0,71282.0,74564.0,23,1.49,0.55,0.05,0,,DF-100010,500010,EMP_00010,DE93000070
11,Sales,L1 - Junior,Berlin,2025-01-02,12,3,43139.0,52608.0,62078.0,57997.0,54501.0,6,3.42,0.55,0.2,0,,DF-100011,500011,EMP_00011,DE93000077
