employee_id,department,job_level,location,tenure_months,performance_rating,base_salary,market_benchmark_salary,comp_to_market_ratio,months_since_last_raise,last_merit_increase_pct,risk_score,risk_band,on_watchlist
DF-100053,Customer Success,L3 - Senior,Lisbon,13,3.0,57643.0,63906.0,0.902,24,0.74,78.7,Critical,True
DF-100502,Engineering,L2 - Mid,Hamburg,21,3.0,67306.0,82080.0,0.82,16,3.0,77.4,Critical,True
DF-100566,Customer Success,L3 - Senior,Hamburg,65,3.0,69711.0,82746.0,0.8425,15,4.33,77.1,Critical,True
DF-100069,Customer Success,L3 - Senior,Lisbon,51,3.0,63602.0,74306.0,0.8559,21,2.19,76.5,Critical,True
DF-100663,Engineering,L1 - Junior,Munich,46,5.0,52094.0,58542.0,0.8899,16,6.01,75.9,Critical,True
DF-100152,Operations,L4 - Lead,Hamburg,43,4.0,84006.0,100342.0,0.8372,12,1.2,75.8,Critical,True
DF-100232,Finance,L2 - Mid,London,82,5.0,61765.0,79750.0,0.7745,16,4.29,75.0,Critical,True
DF-100642,Sales,L1 - Junior,Berlin,24,3.0,44002.0,49372.0,0.8912,14,2.88,74.9,Critical,True
DF-100509,People/HR,L1 - Junior,London,38,2.0,45771.0,51692.0,0.8855,11,1.07,73.6,Critical,True
DF-100158,Customer Success,L1 - Junior,London,47,2.0,50498.0,57992.0,0.8708,18,2.65,73.6,Critical,True
DF-100358,Data & Analytics,L1 - Junior,Lisbon,33,3.0,41026.0,48302.0,0.8494,18,1.36,72.3,Critical,True
DF-100132,Engineering,L6 - Director,Berlin,47,4.0,69256.0,196308.0,0.3528,11,7.13,71.8,Critical,True
DF-100511,Marketing,L1 - Junior,Munich,37,3.0,42928.0,47920.0,0.8958,16,5.12,71.0,Critical,True
DF-100275,Operations,L4 - Lead,Lisbon,44,5.0,69484.0,87607.0,0.7931,12,4.23,70.9,Critical,True
DF-100290,Engineering,L2 - Mid,Remote-DE,18,3.0,69222.0,80293.0,0.8621,5,1.36,70.8,Critical,True
DF-100468,Product,L2 - Mid,Hamburg,31,3.0,68075.0,77646.0,0.8767,22,2.06,70.2,Critical,True
DF-100284,Data & Analytics,L1 - Junior,Munich,38,5.0,51129.0,59857.0,0.8542,17,4.69,69.9,High,True
DF-100261,Support,L2 - Mid,Hamburg,3,3.0,42366.0,52089.0,0.8133,3,2.54,68.9,High,True
DF-100090,Product,L3 - Senior,London,26,3.0,105568.0,125825.0,0.839,19,2.86,68.8,High,True
DF-100486,Product,L4 - Lead,London,53,1.0,130110.0,161485.0,0.8057,10,2.52,67.0,High,True
DF-100576,Customer Success,L3 - Senior,London,36,4.0,89286.0,104321.0,0.8559,7,0.46,66.8,High,True
DF-100252,Finance,L3 - Senior,Remote-DE,49,3.0,80574.0,99733.0,0.8079,16,2.18,66.8,High,True
DF-100374,Product,L1 - Junior,Berlin,57,5.0,46920.0,57071.0,0.8221,12,5.33,66.4,High,True
DF-100107,Engineering,L3 - Senior,Berlin,7,3.0,96730.0,107548.0,0.8994,7,4.93,66.0,High,True
